class,filename,height,width,xmax,xmin,ymax,ymin
drone_gate,IMG_9375.JPG,864,1296,789,494,596,300
drone_gate,IMG_5504.JPG,864,1296,604,392,609,229
drone_gate,IMG_6813.JPG,864,1296,995,485,661,150
drone_gate,IMG_2829.JPG,864,1296,686,615,608,487
drone_gate,IMG_2758.JPG,864,1296,772,464,578,336
drone_gate,IMG_3383.JPG,864,1296,839,568,616,279
drone_gate,IMG_2791.JPG,864,1296,720,499,632,383
drone_gate,IMG_7554.JPG,864,1296,900,445,673,177
drone_gate,IMG_6442.JPG,864,1296,765,476,627,343
drone_gate,IMG_7768 (1).JPG,864,1296,862,570,653,352
drone_gate,IMG_9450.JPG,864,1296,896,428,673,210
drone_gate,IMG_2206.JPG,864,1296,786,527,679,364
drone_gate,IMG_4295.JPG,864,1296,725,582,449,312
drone_gate,IMG_0847.JPG,864,1296,642,62,590,164
drone_gate,IMG_8286.JPG,864,1296,680,608,533,355
drone_gate,IMG_6026.JPG,864,1296,634,525,528,311
drone_gate,IMG_2545.JPG,864,1296,616,432,654,323
drone_gate,IMG_7953 (1).JPG,864,1296,741,475,623,402
drone_gate,IMG_3115.JPG,864,1296,758,400,570,176
drone_gate,IMG_5815.JPG,864,1296,687,385,582,236
drone_gate,IMG_4019.JPG,864,1296,654,399,630,233
drone_gate,IMG_8000 (1).JPG,864,1296,762,597,665,480
drone_gate,IMG_2679.JPG,864,1296,813,380,632,209
drone_gate,IMG_9308.JPG,864,1296,746,527,608,387
drone_gate,IMG_0894.JPG,864,1296,552,357,701,456
drone_gate,IMG_2025.JPG,864,1296,886,525,575,205
drone_gate,IMG_7648.JPG,864,1296,701,489,566,324
drone_gate,IMG_5852.JPG,864,1296,748,589,530,352
drone_gate,IMG_3657.JPG,864,1296,706,582,495,371
drone_gate,IMG_1538.JPG,864,1296,794,468,665,283
drone_gate,IMG_5565.JPG,864,1296,879,509,608,193
drone_gate,IMG_3501.JPG,864,1296,851,763,561,464
drone_gate,IMG_2783.JPG,864,1296,739,407,679,297
drone_gate,IMG_4363.JPG,864,1296,806,627,499,311
drone_gate,IMG_5614.JPG,864,1296,718,513,584,359
drone_gate,IMG_7541.JPG,864,1296,1003,539,649,165
drone_gate,IMG_8917.JPG,864,1296,813,570,677,305
drone_gate,IMG_4765.JPG,864,1296,684,577,632,295
drone_gate,IMG_9019.JPG,864,1296,677,625,608,428
drone_gate,IMG_2154.JPG,864,1296,587,487,677,402
drone_gate,IMG_7807.JPG,864,1296,634,527,608,350
drone_gate,IMG_0890.JPG,864,1296,706,432,730,397
drone_gate,IMG_6465.JPG,864,1296,710,495,667,452
drone_gate,IMG_2155.JPG,864,1296,584,501,673,406
drone_gate,IMG_1939.JPG,864,1296,713,451,580,288
drone_gate,IMG_6774.JPG,864,1296,775,504,575,190
drone_gate,IMG_7022 (1).JPG,864,1296,722,430,634,314
